,Verkauf in,Bauart,Marke,Modell,Kategorie,Erstzulassung,Km-Stand,Getriebeart,Leistung in kW,Chassis,Verkaufspreis,Wunschpreis,PLZ Verkäufer,Fahrzeugalter,fahrzeugalter_cat,Kilometer_cat
745,2023-08-01,Wohnmobil,Pössl,2 Win Plus,Kastenwagen,2019-11-01,23000.0,Schaltung,103.0,Citroen Jumper ,40150,40150,22846,45,2-5 Jahre,20.001-50.000 km
746,2023-08-01,Wohnmobil,Knaus,Van I 650 MEG Platinum Edition,Integrierter,2020-01-01,36000.0,Schaltung,103.0,Fiat ,60700,66000,47800,43,2-5 Jahre,20.001-50.000 km
747,2023-08-01,,Globecar,Summit 600 Plus,Kastenwagen,2019-11-01,47500.0,Schaltung,120.0,Citröen,43400,43000,65191,45,2-5 Jahre,20.001-50.000 km
748,2023-08-01,Wohnmobil,Hymer,MC T600 Aut. 4.5t,Teilintegrierter,2021-09-01,12000.0,Automatik,125.0,Mercedes ,95000,107000,74629,23,0-2 Jahre,0-20.000 km
749,2023-08-01,Wohnmobil,Hymer,644 / 3.1t,Integrierter,1988-07-01,210000.0,Schaltung,68.0,Fiat,6000,7200,59427,421,Über 10 Jahre,Über 100.000 km
750,2023-08-01,Wohnmobil,Carado,T 448,Teilintegrierter,2019-07-01,13000.0,Schaltung,96.0,Fiat Ducato,49900,53000,85570,49,2-5 Jahre,0-20.000 km
751,2023-08-01,Wohnmobil,Forster,VB 699 / 9G-Tronic / 4.4 t,Alkoven,2021-09-01,12000.0,Automatik,130.0,Fiat Ducato,58500,63000,61279,23,0-2 Jahre,0-20.000 km
752,2023-08-01,Wohnmobil,Knaus,SUN TI 700 MEG Aut. 4.0t,Teilintegrierter,2017-06-01,40150.0,Automatik,130.0,Fiat,58000,65000,39171,74,5-10 Jahre,20.001-50.000 km
753,2023-08-01,Wohnmobil,Hymer,Eriba Swing 494 / 3.2t,Alkoven,1998-04-01,158600.0,Schaltung,60.0,Fiat ,7100,7900,87527,304,Über 10 Jahre,Über 100.000 km
754,2023-08-01,Wohnwagen,Hymer,Nova 620 SL,,2017-03-01,,,,,19200,24000,46399,77,5-10 Jahre,Über 100.000 km
755,2023-08-01,Wohnmobil,Hymer,ML-T 580 / 4x4 / 4.1 t,Teilintegrierter,2019-11-01,34713.0,Automatik,120.0,Mercedes Benz Sprinter,104000,117000,38470,45,2-5 Jahre,20.001-50.000 km
756,2023-08-01,Wohnmobil,Dethleffs,Globebus T 11,Teilintegrierter,2011-06-01,55700.0,Schaltung,96.0,Fiat Ducato,31700,33500,34613,146,Über 10 Jahre,50.001-100.000 km
757,2023-08-01,Wohnmobil,Ahorn,Van 620,Bus,2022-05-01,16700.0,Schaltung,100.0,Renault ,49100,50000,98617,15,0-2 Jahre,0-20.000 km
758,2023-08-01,Wohnmobil,Bürstner,A 530 active DPF,Alkoven,2003-05-01,140000.0,Schaltung,81.0,Fiat ,13650,15950,44789,243,Über 10 Jahre,Über 100.000 km
759,2023-08-01,Wohnmobil,Dethleffs,Trend A 6977,Alkoven,2018-05-01,85000.0,Schaltung,96.0,Fiat,34400,38700,50739,63,5-10 Jahre,50.001-100.000 km
760,2023-08-01,Wohnmobil,Chausson,Welcome 55 DPF,Teilintegrierter,2004-10-01,170000.0,Schaltung,94.0,Fiat ,15000,13000,45133,226,Über 10 Jahre,Über 100.000 km
761,2023-08-01,Wohnmobil,Sun Living,Flexo SP,Kastenwagen,2015-05-01,125000.0,Schaltung,96.0,Fiat Ducato,32500,34200,97447,99,5-10 Jahre,Über 100.000 km
762,2023-08-01,Wohnmobil,Bürstner,Lyseo TD 745 Harmony Line 4.25 t,Teilintegrierter,2020-09-01,20000.0,Schaltung,118.0,Ducato,63000,65000,86511,35,2-5 Jahre,0-20.000 km
763,2023-08-01,Wohnmobil,Knaus,Boxlife 630 ME aut.,Kastenwagen,2016-02-01,97000.0,Automatik,109.0,Fiat,47000,52000,44577,90,5-10 Jahre,50.001-100.000 km
764,2023-08-01,Wohnmobil,Pilote,P 716 P / 4.4t,Teilintegrierter,2017-02-01,35000.0,Schaltung,110.0,Fiat ,48000,56000,74547,78,5-10 Jahre,20.001-50.000 km
765,2023-08-01,Wohnmobil,Knaus,Van Ti Vansation 640 MEG Aut.,Teilintegrierter,2022-09-01,20800.0,Automatik,130.0,MAN ,69600,63000,79400,11,0-2 Jahre,20.001-50.000 km
766,2023-08-01,Wohnwagen,Fendt,Diamant 510 TG,,2009-08-01,,,,,8900,11900,70794,168,Über 10 Jahre,Über 100.000 km
767,2023-08-01,Wohnmobil,Dethleffs,Trend Edition T7057 EB 9G-Tronic 3.65t,Teilintegrierter,2020-09-01,33200.0,Automatik,103.0,Fiat ,60900,72500,91074,35,2-5 Jahre,20.001-50.000 km
768,2023-08-01,Wohnmobil,Carthago,C-Compactline 144 LE Aut. 4.25 t,Integrierter,2018-06-01,29500.0,Automatik,110.0,Fiat Ducato,65300,70000,86929,62,5-10 Jahre,20.001-50.000 km
769,2023-08-01,Wohnmobil,Dethleffs,Trend A 5887,Alkoven,2020-05-01,42042.0,Schaltung,103.0,Fiat Ducato,45050,47450,86356,39,2-5 Jahre,20.001-50.000 km
770,2023-08-01,Wohnmobil,Challenger,Combo X150 Open Edition 9G-Tronic,Kastenwagen,2023-08-01,200.0,Automatik,118.0,Fiat,71200,70000,94032,0,0-2 Jahre,0-20.000 km
771,2023-08-01,Wohnmobil,Carado,T 459 Edition 15 / 9G-Tronic,Teilintegrierter,2021-09-01,12251.0,Automatik,103.0,Fiat ,64600,63000,67697,23,0-2 Jahre,0-20.000 km
772,2023-08-01,Wohnmobil,Knaus,Van Ti 650 MEG Platinum Selection,Teilintegrierter,2020-10-01,27000.0,Schaltung,121.0,Peugeot ,51500,59000,86753,34,2-5 Jahre,20.001-50.000 km
773,2023-08-01,Wohnmobil,Clever,Jumper Cleverly,Kastenwagen,2019-07-01,36000.0,Schaltung,96.0,Citroen Jumper,41500,41500,84186,49,2-5 Jahre,20.001-50.000 km
774,2023-08-01,Wohnmobil,Hymer,B ML 890 Aut. 5.5t,Integrierter,2021-07-01,20500.0,Automatik,125.0,Mercedes ,140000,165000,70567,25,2-5 Jahre,20.001-50.000 km
775,2023-08-01,Wohnmobil,Knaus,BoxLife 600 ME,Kastenwagen,2021-07-01,26400.0,Schaltung,103.0,Fiat,47000,51000,18442,25,2-5 Jahre,20.001-50.000 km
776,2023-08-01,Wohnmobil,Pössl,2Win DPF 3.3t,Kastenwagen,2006-06-01,147000.0,Schaltung,74.0,Citroen,14000,18000,23923,206,Über 10 Jahre,Über 100.000 km
777,2023-08-01,Wohnmobil,Hymer,Exsis-T 588,Teilintegrierter,2017-04-01,35000.0,Schaltung,110.0,Fiat,49900,55000,83727,76,5-10 Jahre,20.001-50.000 km
778,2023-08-01,Wohnwagen,Tabbert,"490 TD Booster 2,3 ",,2019-12-01,,,,,20250,20250,25337,44,2-5 Jahre,Über 100.000 km
779,2023-08-01,Wohnmobil,Laika,Kosmo 512 / 9G-Tronic,Teilintegrierter,2022-02-01,8700.0,Automatik,103.0,Fiat,70000,70000,21224,18,0-2 Jahre,0-20.000 km
780,2023-09-01,Wohnmobil,Pössl,Roadstar 600 L 9G-Tronic,Kastenwagen,2020-07-01,16100.0,Automatik,103.0,Fiat ,53900,55000,74172,38,2-5 Jahre,0-20.000 km
781,2023-08-01,Wohnmobil,Pössl,2 Win Style Automatik,Kastenwagen,2012-09-01,101000.0,Automatik,109.0,Fiat Ducato,31000,36000,79379,131,Über 10 Jahre,Über 100.000 km
782,2023-09-01,Wohnmobil,Carthago,Chic C Line 3.8,Integrierter,2010-07-01,88215.0,Schaltung,96.0,Fiat Ducato,38999,39999,66484,158,Über 10 Jahre,50.001-100.000 km
783,2023-08-01,Wohnmobil,Bavaria,P 706 GJ ,Teilintegrierter,2018-04-01,30500.0,Schaltung,96.0,Fiat ,46600,50000,89079,64,5-10 Jahre,20.001-50.000 km
784,2023-08-01,Wohnmobil,Chausson,V594 Premium 9G-Tronic,Kastenwagen,2021-10-01,11300.0,Automatik,103.0,Fiat Ducato ,50300,49900,96117,22,0-2 Jahre,0-20.000 km
785,2023-08-01,Wohnmobil,LMC,Element T668G,Teilintegrierter,2021-10-01,15000.0,Schaltung,103.0,Fiat ,61750,67550,41849,22,0-2 Jahre,0-20.000 km
786,2023-08-01,Wohnmobil,Eura Mobil,PT 695 EB Arcadia Sondered. 9G-Tronic,Teilintegrierter,2020-11-01,9550.0,Automatik,103.0,Fiat Ducato,64000,66900,26725,33,2-5 Jahre,0-20.000 km
787,2023-08-01,Wohnwagen,Hymer,Troll 555 GT,,2004-01-01,,,,,9000,10200,97836,235,Über 10 Jahre,Über 100.000 km
788,2023-08-01,Wohnmobil,Eura Mobil,Profila 720 EB 9G-Tronic 4.4t,Teilintegrierter,2021-09-01,15246.0,Automatik,118.0,Fiat ,82000,88400,36043,23,0-2 Jahre,0-20.000 km
789,2023-08-01,Wohnmobil,Weinsberg,Cara Core 650 ,Integrierter,2021-06-01,7200.0,Schaltung,103.0,Weinsberg,63250,64350,56218,26,2-5 Jahre,0-20.000 km
790,2023-08-01,Wohnmobil,Ahorn,ACT 640 plus 3.5t,Teilintegrierter,2022-05-01,7800.0,Schaltung,120.0,Renault ,51050,52350,36208,15,0-2 Jahre,0-20.000 km
791,2023-08-01,Wohnmobil,Clever,Celebration H3,Kastenwagen,2018-05-01,73600.0,Schaltung,120.0,Citroen,39600,42600,78147,63,5-10 Jahre,50.001-100.000 km
792,2023-08-01,Wohnmobil,Hobby,V65 GE Optima OnTour Edition,Teilintegrierter,2019-03-01,30000.0,Schaltung,96.0,Citroen Jumper,48700,42000,21706,53,2-5 Jahre,20.001-50.000 km
793,2023-08-01,Wohnmobil,Carthago,Malibu 32.2 / auf VW T4 ,Bus,1994-02-01,275000.0,Schaltung,57.0,Volkswagen ,6200,5000,16321,354,Über 10 Jahre,Über 100.000 km
794,2023-08-01,Wohnmobil,Ahorn,Canada TE Plus Automatik,Teilintegrierter,2020-04-01,11010.0,Automatik,125.0,Renault Master 3,48300,49100,90579,40,2-5 Jahre,0-20.000 km
795,2023-08-01,Wohnmobil,Westfalia,Nugget Hochdach Automatik,Bus,2021-07-01,34300.0,Automatik,136.0,,47000,47000,13156,25,2-5 Jahre,20.001-50.000 km
796,2023-08-01,Wohnmobil,Bürstner,Viseo I 595,Integrierter,2009-06-01,38000.0,Schaltung,96.0,Fiat,27000,27000,70806,170,Über 10 Jahre,20.001-50.000 km
